model,fpr,tpr,threshold,curve,model_key,display_model,precision,recall
Ours,0.1268928502971056,0.7747035573122529,0.04525272,ROC,ours_full,Ours,,
Ours,0.1295763848955338,0.7747035573122529,0.039977096,ROC,ours_full,Ours,,
Ours,0.1295763848955338,0.7753623188405797,0.039848603,ROC,ours_full,Ours,,
Ours,0.1299597469810235,0.7753623188405797,0.03964709,ROC,ours_full,Ours,,
Ours,0.1299597469810235,0.7760210803689065,0.03949674,ROC,ours_full,Ours,,
Ours,0.1324516005367069,0.7760210803689065,0.036171857,ROC,ours_full,Ours,,
Ours,0.1324516005367069,0.7766798418972332,0.036106613,ROC,ours_full,Ours,,
Ours,0.1339850488786659,0.7766798418972332,0.03445409,ROC,ours_full,Ours,,
Ours,0.1339850488786659,0.7773386034255599,0.034266483,ROC,ours_full,Ours,,
Ours,0.1343684109641556,0.7773386034255599,0.034103956,ROC,ours_full,Ours,,
Ours,0.1343684109641556,0.7779973649538867,0.033972666,ROC,ours_full,Ours,,
Ours,0.1408855664174813,0.7779973649538867,0.027624417,ROC,ours_full,Ours,,
Ours,0.1408855664174813,0.7786561264822134,0.027594859,ROC,ours_full,Ours,,
Ours,0.14280237684493,0.7786561264822134,0.026996182,ROC,ours_full,Ours,,
Ours,0.14280237684493,0.7793148880105402,0.026954256,ROC,ours_full,Ours,,
Ours,0.1514280237684493,0.7793148880105402,0.02215114,ROC,ours_full,Ours,,
Ours,0.1514280237684493,0.7799736495388669,0.022026595,ROC,ours_full,Ours,,
Ours,0.1550699635806018,0.7799736495388669,0.019849874,ROC,ours_full,Ours,,
Ours,0.1550699635806018,0.7806324110671937,0.019741992,ROC,ours_full,Ours,,
Ours,0.1573701360935403,0.7806324110671937,0.019026987,ROC,ours_full,Ours,,
Ours,0.1573701360935403,0.7812911725955204,0.018946512,ROC,ours_full,Ours,,
Ours,0.160820394862948,0.7812911725955204,0.017824406,ROC,ours_full,Ours,,
Ours,0.160820394862948,0.782608695652174,0.017791485,ROC,ours_full,Ours,,
Ours,0.1619704811194172,0.782608695652174,0.017500954,ROC,ours_full,Ours,,
Ours,0.1619704811194172,0.7832674571805006,0.017448239,ROC,ours_full,Ours,,
Ours,0.1702127659574468,0.7832674571805006,0.013880987,ROC,ours_full,Ours,,
Ours,0.1702127659574468,0.7839262187088274,0.013816386,ROC,ours_full,Ours,,
Ours,0.1742380678550891,0.7839262187088274,0.012571451,ROC,ours_full,Ours,,
Ours,0.1742380678550891,0.7845849802371542,0.012525503,ROC,ours_full,Ours,,
Ours,0.1792217749664558,0.7845849802371542,0.011520512,ROC,ours_full,Ours,,
Ours,0.1792217749664558,0.7852437417654808,0.011516967,ROC,ours_full,Ours,,
Ours,0.1836304389495879,0.7852437417654808,0.010558616,ROC,ours_full,Ours,,
Ours,0.1836304389495879,0.7859025032938076,0.010556654,ROC,ours_full,Ours,,
Ours,0.1853555683342917,0.7859025032938076,0.010376644,ROC,ours_full,Ours,,
Ours,0.1853555683342917,0.7865612648221344,0.010322846,ROC,ours_full,Ours,,
Ours,0.1868890166762507,0.7865612648221344,0.010130732,ROC,ours_full,Ours,,
Ours,0.1868890166762507,0.7872200263504612,0.010111995,ROC,ours_full,Ours,,
Ours,0.1889975081464443,0.7872200263504612,0.009807145,ROC,ours_full,Ours,,
Ours,0.1889975081464443,0.7878787878787878,0.00972374,ROC,ours_full,Ours,,
Ours,0.1899559133601686,0.7878787878787878,0.0096595185,ROC,ours_full,Ours,,
Ours,0.1899559133601686,0.7885375494071146,0.009642087,ROC,ours_full,Ours,,
Ours,0.1943645773433007,0.7885375494071146,0.00923081,ROC,ours_full,Ours,,
Ours,0.1943645773433007,0.7891963109354414,0.009229144,ROC,ours_full,Ours,,
Ours,0.1947479394287904,0.7891963109354414,0.009163225,ROC,ours_full,Ours,,
Ours,0.1947479394287904,0.7898550724637681,0.009157993,ROC,ours_full,Ours,,
Ours,0.1951313015142802,0.7898550724637681,0.009139739,ROC,ours_full,Ours,,
Ours,0.1951313015142802,0.7905138339920948,0.009138487,ROC,ours_full,Ours,,
Ours,0.19551466359977,0.7905138339920948,0.0091127455,ROC,ours_full,Ours,,
Ours,0.19551466359977,0.7911725955204216,0.00910548,ROC,ours_full,Ours,,
Ours,0.199923327582902,0.7911725955204216,0.008491127,ROC,ours_full,Ours,,
Ours,0.199923327582902,0.7918313570487484,0.008487987,ROC,ours_full,Ours,,
Ours,0.2012650948821161,0.7918313570487484,0.0083962865,ROC,ours_full,Ours,,
Ours,0.2012650948821161,0.7924901185770751,0.008384746,ROC,ours_full,Ours,,
Ours,0.2081656124209315,0.7924901185770751,0.0077085407,ROC,ours_full,Ours,,
Ours,0.2081656124209315,0.7931488801054019,0.0076790163,ROC,ours_full,Ours,,
Ours,0.2213916043703278,0.7931488801054019,0.0066702734,ROC,ours_full,Ours,,
Ours,0.2213916043703278,0.7938076416337286,0.0066490257,ROC,ours_full,Ours,,
Ours,0.2252252252252252,0.7938076416337286,0.006431963,ROC,ours_full,Ours,,
Ours,0.2252252252252252,0.7944664031620553,0.006389429,ROC,ours_full,Ours,,
Ours,0.2279087598236534,0.7944664031620553,0.006307042,ROC,ours_full,Ours,,
Ours,0.2279087598236534,0.7951251646903821,0.006305978,ROC,ours_full,Ours,,
Ours,0.2309756565075714,0.7951251646903821,0.0061681876,ROC,ours_full,Ours,,
Ours,0.2309756565075714,0.7957839262187089,0.006164056,ROC,ours_full,Ours,,
Ours,0.2323174238067855,0.7957839262187089,0.0060983943,ROC,ours_full,Ours,,
Ours,0.2323174238067855,0.7964426877470355,0.0060749305,ROC,ours_full,Ours,,
Ours,0.239026260302856,0.7964426877470355,0.0057158875,ROC,ours_full,Ours,,
Ours,0.239026260302856,0.7971014492753623,0.0057126204,ROC,ours_full,Ours,,
Ours,0.2507188039102933,0.7971014492753623,0.005363807,ROC,ours_full,Ours,,
